Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
28.003026	0.000441	0.191949	0.191950	76.077234	7.919510	0.744954	138.798113	138.798113	138.798113	4.190739	0.030683	2.830000	0.800780	0.357345	37.641965
28.406397	0.000457	0.194922	0.194923	76.345817	7.991329	0.743327	138.189198	138.189198	138.189198	4.195764	0.033173	2.830000	0.787929	0.354134	38.168156
28.815578	0.000475	0.197948	0.197949	76.615016	8.066465	0.741653	137.570759	137.570759	137.570759	4.200974	0.035890	2.830000	0.774852	0.350835	38.700847
29.230652	0.000493	0.201028	0.201029	76.884851	8.145120	0.739931	136.942618	136.942618	136.942618	4.206378	0.038858	2.830000	0.761550	0.347447	39.240046
29.651706	0.000512	0.204163	0.204164	77.155341	8.227511	0.738160	136.304595	136.304595	136.304595	4.211983	0.042103	2.830000	0.748025	0.343968	39.785750
30.078825	0.000532	0.207356	0.207356	77.426510	8.313875	0.736339	135.656503	135.656503	135.656503	4.217799	0.045655	2.830000	0.734279	0.340395	40.337948
30.512097	0.000552	0.210606	0.210607	77.698377	8.404469	0.734466	134.998152	134.998152	134.998152	4.223835	0.049546	2.830000	0.720315	0.336726	40.896618
30.951609	0.000574	0.213916	0.213917	77.970966	8.499569	0.732540	134.329344	134.329344	134.329344	4.230101	0.053815	2.830000	0.706136	0.332958	41.461728
31.397452	0.000597	0.217287	0.217288	78.244300	8.599480	0.730559	133.649878	133.649878	133.649878	4.236606	0.058503	2.830000	0.691747	0.329090	42.033227
31.849718	0.000621	0.220721	0.220722	78.518403	8.704531	0.728522	132.959544	132.959544	132.959544	4.243362	0.063657	2.830000	0.677151	0.325118	42.611055
32.308498	0.000646	0.224220	0.224221	78.793301	8.815081	0.726427	132.258130	132.258130	132.258130	4.250381	0.069332	2.830000	0.662354	0.321041	43.195130
32.773887	0.000672	0.227784	0.227785	79.069019	8.931525	0.724272	131.545413	131.545413	131.545413	4.257673	0.075587	2.830000	0.647361	0.316855	43.785350
33.245979	0.000700	0.231417	0.231418	79.345584	9.054294	0.722056	130.821166	130.821166	130.821166	4.265252	0.082492	2.830000	0.632180	0.312559	44.381593
33.724872	0.000729	0.235119	0.235121	79.623025	9.183863	0.719777	130.085155	130.085155	130.085155	4.273132	0.090124	2.830000	0.616816	0.308149	44.983707
34.210663	0.000759	0.238894	0.238895	79.901369	9.320753	0.717433	129.337136	129.337136	129.337136	4.281326	0.098572	2.830000	0.601280	0.303624	45.591514
34.703452	0.000791	0.242742	0.242743	80.180647	9.465541	0.715022	128.576860	128.576860	128.576860	4.289849	0.107938	2.830000	0.585579	0.298979	46.204798
35.203338	0.000825	0.246666	0.246667	80.460890	9.618864	0.712543	127.804067	127.804067	127.804067	4.298718	0.118337	2.830000	0.569724	0.294214	46.823307
35.710426	0.000861	0.250668	0.250669	80.742129	9.781429	0.709993	127.018491	127.018491	127.018491	4.307949	0.129901	2.830000	0.553725	0.289324	47.446741
36.224818	0.000898	0.254750	0.254752	81.024398	9.954022	0.707371	126.219855	126.219855	126.219855	4.317559	0.142784	2.830000	0.537595	0.284307	48.074750
36.746619	0.000938	0.258916	0.258918	81.307731	10.137521	0.704674	125.407872	125.407872	125.407872	4.327568	0.157160	2.830000	0.521346	0.279161	48.706922
37.275937	0.000979	0.263167	0.263169	81.592164	10.332907	0.701900	124.582246	124.582246	124.582246	4.337995	0.173231	2.830000	0.504994	0.273882	49.342776
37.812880	0.001023	0.267506	0.267508	81.877734	10.541280	0.699047	123.742670	123.742670	123.742670	4.348861	0.191230	2.830000	0.488553	0.268468	49.981749
38.357556	0.001070	0.271936	0.271939	82.164479	10.763880	0.696113	122.888824	122.888824	122.888824	4.360190	0.211428	2.830000	0.472041	0.262916	50.623182
38.910079	0.001119	0.276460	0.276463	82.452439	11.002108	0.693095	122.020378	122.020378	122.020378	4.372004	0.234139	2.830000	0.455475	0.257223	51.266305
39.470560	0.001171	0.281082	0.281084	82.741654	11.257554	0.689991	121.136987	121.136987	121.136987	4.384329	0.259728	2.830000	0.438875	0.251387	51.910215
40.039115	0.001227	0.285803	0.285806	83.032167	11.532028	0.686798	120.238294	120.238294	120.238294	4.397191	0.288622	2.830000	0.422262	0.245404	52.553853
40.615860	0.001285	0.290628	0.290631	83.324023	11.827598	0.683514	119.323927	119.323927	119.323927	4.410620	0.321318	2.830000	0.405659	0.239271	53.195976
41.200912	0.001347	0.295560	0.295563	83.617268	12.146644	0.680135	118.393497	118.393497	118.393497	4.424645	0.358402	2.830000	0.389090	0.232986	53.835117
41.794392	0.001413	0.300604	0.300607	83.911948	12.491910	0.676660	117.446603	117.446603	117.446603	4.439299	0.400560	2.830000	0.372582	0.226547	54.469545
42.396421	0.001484	0.305762	0.305766	84.208112	12.866582	0.673085	116.482821	116.482821	116.482821	4.454617	0.448599	2.830000	0.356161	0.219950	55.097204
43.007121	0.001558	0.311040	0.311044	84.505813	13.274376	0.669407	115.501712	115.501712	115.501712	4.470634	0.503474	2.830000	0.339859	0.213193	55.715648
43.626619	0.001638	0.316442	0.316447	84.805102	13.719654	0.665623	114.502817	114.502817	114.502817	4.487391	0.566309	2.830000	0.323706	0.206273	56.321951
44.255040	0.001723	0.321973	0.321978	85.106035	14.207570	0.661730	113.485655	113.485655	113.485655	4.504929	0.638436	2.830000	0.307737	0.199190	56.912593
44.892513	0.001814	0.327638	0.327643	85.408668	14.744250	0.657725	112.449722	112.449722	112.449722	4.523294	0.721433	2.830000	0.291988	0.191939	57.483317
45.539168	0.001911	0.333442	0.333447	85.713060	15.337036	0.653603	111.394491	111.394491	111.394491	4.542531	0.817166	2.830000	0.276497	0.184521	58.028941
46.195138	0.002014	0.339390	0.339396	86.019271	15.994794	0.649361	110.319408	110.319408	110.319408	4.562694	0.927846	2.830000	0.261304	0.176933	58.543107
46.860558	0.002125	0.345490	0.345497	86.327365	16.728323	0.644996	109.223893	109.223893	109.223893	4.583837	1.056082	2.830000	0.246453	0.169174	59.017952
47.535562	0.002244	0.351747	0.351754	86.637408	17.550901	0.640503	108.107334	108.107334	108.107334	4.606018	1.204949	2.830000	0.231989	0.161245	59.443660
48.220290	0.002372	0.358169	0.358177	86.949466	18.479020	0.635878	106.969090	106.969090	106.969090	4.629300	1.378047	2.830000	0.217960	0.153147	59.807856
48.914880	0.002510	0.364763	0.364771	87.263609	19.533388	0.631117	105.808483	105.808483	105.808483	4.653751	1.579561	2.830000	0.204418	0.144880	60.094748
49.619476	0.002657	0.371536	0.371546	87.579911	20.740315	0.626216	104.624799	104.624799	104.624799	4.679444	1.814291	2.830000	0.191416	0.136449	60.283931
50.334221	0.002817	0.378498	0.378509	87.898445	22.133659	0.621169	103.417286	103.417286	103.417286	4.706457	2.087656	2.830000	0.179011	0.127860	60.348647
51.059262	0.002989	0.385658	0.385670	88.219288	23.757575	0.615972	102.185146	102.185146	102.185146	4.734872	2.405604	2.830000	0.167263	0.119120	60.253240
51.794747	0.003175	0.393025	0.393038	88.542520	25.670456	0.610619	100.927539	100.927539	100.927539	4.764781	2.774421	2.830000	0.156233	0.110243	59.949322
52.540826	0.003377	0.400610	0.400624	88.868223	27.950583	0.605104	99.643571	99.643571	99.643571	4.796281	3.200338	2.830000	0.145989	0.101250	59.369884
53.297652	0.003596	0.408425	0.408441	89.196481	30.704170	0.599423	98.332297	98.332297	98.332297	4.829475	3.688880	2.830000	0.136599	0.092170	58.420047
54.065379	0.003833	0.416482	0.416499	89.527382	34.076353	0.593569	96.992713	96.992713	96.992713	4.864476	4.243882	2.830000	0.128135	0.083049	56.962220
54.844166	0.004092	0.424794	0.424813	89.861013	38.264402	0.587534	95.623752	95.623752	95.623752	4.901406	4.866128	2.830000	0.120674	0.073959	54.792006
55.634170	0.004374	0.433376	0.433398	90.197466	43.526744	0.581314	94.224278	94.224278	94.224278	4.940396	5.551667	2.830000	0.114292	0.065017	51.599379
56.435554	0.004682	0.442244	0.442268	90.536834	50.160591	0.574899	92.793083	92.793083	92.793083	4.981586	6.290071	2.830000	0.109074	0.056419	46.910217
57.248482	0.005019	0.451415	0.451443	90.879212	58.355222	0.568283	91.328876	91.328876	91.328876	5.025130	7.063094	2.830000	0.105104	0.048496	40.019884
58.073119	0.005389	0.460908	0.460939	91.224697	67.675874	0.561458	89.830280	89.830280	89.830280	5.071192	7.844435	2.830000	0.102471	0.041817	30.015364
58.909635	0.005796	0.470744	0.470779	91.573385	75.935656	0.554414	88.295825	88.295825	88.295825	5.119949	8.601321	2.830000	0.101267	0.037268	16.228780
59.758201	0.006244	0.480945	0.480986	91.925376	78.835914	0.547143	86.723935	86.723935	86.723935	5.171593	9.298197	2.830000	0.101586	0.035897	-0.484705
60.618990	0.006738	0.491537	0.491583	92.280767	73.962430	0.539634	85.112924	85.112924	85.112924	5.226332	9.902030	2.830000	0.103525	0.038263	-17.047916
61.492178	0.007286	0.502547	0.502600	92.639656	64.387924	0.531877	83.460984	83.460984	83.460984	5.284387	10.387828	2.830000	0.107185	0.043952	-30.489613
62.377944	0.007894	0.514006	0.514067	93.002140	54.374577	0.523861	81.766173	81.766173	81.766173	5.346001	10.742616	2.830000	0.112667	0.052046	-40.099300
63.276469	0.008571	0.525948	0.526017	93.368311	45.835775	0.515574	80.026409	80.026409	80.026409	5.411431	10.966626	2.830000	0.120075	0.061742	-46.591001
64.187937	0.009326	0.538409	0.538490	93.738261	39.025665	0.507003	78.239449	78.239449	78.239449	5.480956	11.071592	2.830000	0.129512	0.072516	-50.869781
