Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
41.200912	0.001197	0.285885	0.285888	83.052094	11.978461	0.676833	119.038144	119.038144	119.038144	4.286019	0.307988	2.830000	0.397529	0.236257	53.518553
41.794392	0.001250	0.290701	0.290704	83.329412	12.304880	0.673352	118.121393	118.121393	118.121393	4.295722	0.342350	2.830000	0.381211	0.229990	54.148077
42.396421	0.001307	0.295623	0.295626	83.607641	12.658018	0.669776	117.189288	117.189288	117.189288	4.305854	0.381244	2.830000	0.364968	0.223574	54.772075
43.007121	0.001367	0.300655	0.300658	83.886811	13.041105	0.666102	116.241479	116.241479	116.241479	4.316438	0.425365	2.830000	0.348830	0.217006	55.388453
43.626619	0.001431	0.305800	0.305803	84.166950	13.457906	0.662327	115.277604	115.277604	115.277604	4.327495	0.475525	2.830000	0.332825	0.210285	55.994722
44.255040	0.001499	0.311062	0.311066	84.448090	13.912834	0.658450	114.297288	114.297288	114.297288	4.339048	0.532678	2.830000	0.316985	0.203409	56.587916
44.892513	0.001570	0.316446	0.316450	84.730262	14.411099	0.654466	113.300141	113.300141	113.300141	4.351123	0.597946	2.830000	0.301341	0.196376	57.164479
45.539168	0.001646	0.321956	0.321960	85.013499	14.958889	0.650374	112.285755	112.285755	112.285755	4.363746	0.672643	2.830000	0.285930	0.189185	57.720122
46.195138	0.001727	0.327597	0.327602	85.297835	15.563607	0.646170	111.253709	111.253709	111.253709	4.376944	0.758313	2.830000	0.270788	0.181834	58.249640
46.860558	0.001813	0.333374	0.333379	85.583304	16.234183	0.641851	110.203564	110.203564	110.203564	4.390745	0.856768	2.830000	0.255954	0.174324	58.746666
47.535562	0.001904	0.339293	0.339298	85.869941	16.981477	0.637414	109.134861	109.134861	109.134861	4.405181	0.970124	2.830000	0.241469	0.166652	59.203352
48.220290	0.002001	0.345358	0.345364	86.157782	17.818819	0.632855	108.047125	108.047125	108.047125	4.420283	1.100848	2.830000	0.227376	0.158821	59.609932
48.914880	0.002105	0.351576	0.351583	86.446864	18.762732	0.628171	106.939856	106.939856	106.939856	4.436086	1.251792	2.830000	0.213722	0.150831	59.954127
49.619476	0.002215	0.357954	0.357961	86.737225	19.833921	0.623358	105.812537	105.812537	105.812537	4.452624	1.426225	2.830000	0.200553	0.142685	60.220326
50.334221	0.002333	0.364499	0.364506	87.028904	21.058630	0.618413	104.664625	104.664625	104.664625	4.469935	1.627840	2.830000	0.187920	0.134387	60.388426
51.059262	0.002460	0.371216	0.371224	87.321939	22.470536	0.613332	103.495554	103.495554	103.495554	4.488059	1.860726	2.830000	0.175876	0.125943	60.432164
51.794747	0.002595	0.378115	0.378124	87.616370	24.113427	0.608111	102.304732	102.304732	102.304732	4.507038	2.129275	2.830000	0.164475	0.117362	60.316681
52.540826	0.002741	0.385204	0.385213	87.912239	26.045002	0.602745	101.091539	101.091539	101.091539	4.526915	2.437993	2.830000	0.153775	0.108658	59.994879
53.297652	0.002896	0.392491	0.392501	88.209586	28.342313	0.597231	99.855327	99.855327	99.855327	4.547736	2.791168	2.830000	0.143836	0.099851	59.401852
